permutation,null_clock_median_lambda
1872,0.4418
1873,0.3246
1874,0.4194
1875,0.4849
1876,0.4859
1877,0.4925
1878,0.5433
1879,0.5603
1880,0.5285
1881,0.5384
1882,0.6221
1883,0.4373
1884,0.5552
1885,0.5283
1886,0.5651
1887,0.4848
1888,0.4724
1889,0.5399
1890,0.5720
1891,0.4633
1892,0.4909
1893,0.4375
1894,0.5339
1895,0.6393
1896,0.5218
1897,0.5313
1898,0.4657
1899,0.4708
1900,0.4491
1901,0.4952
1902,0.4363
1903,0.4412
1904,0.4520
1905,0.5916
1906,0.5669
1907,0.4664
1908,0.4624
1909,0.5921
1910,0.4502
1911,0.5876
1912,0.5043
1913,0.4651
1914,0.5101
1915,0.5151
1916,0.4899
1917,0.4337
1918,0.5884
1919,0.5020
1920,0.5343
1921,0.4609
1922,0.5656
1923,0.4100
1924,0.4506
1925,0.4728
1926,0.5252
1927,0.5363
1928,0.5101
1929,0.4918
1930,0.5882
1931,0.4349
1932,0.5426
1933,0.4975
1934,0.4460
1935,0.5756
1936,0.4683
1937,0.4908
1938,0.6018
1939,0.4606
1940,0.5018
1941,0.5112
1942,0.5035
1943,0.4899
1944,0.6412
1945,0.5993
1946,0.4635
1947,0.5362
1948,0.4555
1949,0.4425
1950,0.5863
1951,0.4850
1952,0.4647
1953,0.5502
1954,0.5522
1955,0.5739
1956,0.4388
1957,0.5276
1958,0.5874
1959,0.4778
1960,0.4284
1961,0.4919
1962,0.4680
1963,0.5211
1964,0.4725
1965,0.4423
1966,0.4215
1967,0.5367
1968,0.4418
1969,0.4887
1970,0.5243
1971,0.5376
1972,0.5118
1973,0.5348
1974,0.5257
1975,0.4275
1976,0.4020
1977,0.5549
1978,0.4580
1979,0.4995
1980,0.5208
1981,0.3696
1982,0.5186
1983,0.6023
1984,0.4248
1985,0.4607
1986,0.4882
1987,0.5300
1988,0.4541
1989,0.3852
1990,0.5243
1991,0.4886
1992,0.3963
1993,0.5086
1994,0.5030
1995,0.4530
1996,0.5551
1997,0.4218
1998,0.5216
1999,0.5035
2000,0.3864
2001,0.5341
2002,0.4545
2003,0.5849
2004,0.5040
2005,0.5335
2006,0.4650
2007,0.4916
2008,0.5600
2009,0.3899
2010,0.5899
2011,0.5149
2012,0.5148
2013,0.4768
2014,0.4803
2015,0.4298
2016,0.5015
2017,0.5328
2018,0.4055
2019,0.5213
2020,0.4879
2021,0.4201
2022,0.5212
2023,0.4841
2024,0.5474
2025,0.4247
2026,0.4176
2027,0.5877
2028,0.4309
2029,0.4471
2030,0.4767
2031,0.5178
2032,0.5035
2033,0.5178
2034,0.4719
2035,0.4635
2036,0.5110
2037,0.4979
2038,0.5813
2039,0.4587
2040,0.5023
2041,0.5078
2042,0.4849
2043,0.5093
2044,0.5022
2045,0.4292
2046,0.4716
2047,0.4451
2048,0.4695
2049,0.4666
2050,0.5429
2051,0.5833
2052,0.5534
2053,0.4542
2054,0.4879
2055,0.4592
2056,0.4284
2057,0.6109
2058,0.4686
2059,0.5177
2060,0.5008
2061,0.4835
2062,0.4584
2063,0.4690
2064,0.4724
2065,0.4564
2066,0.4586
2067,0.5423
2068,0.4806
2069,0.5665
2070,0.5009
2071,0.4697
2072,0.5944
2073,0.6039
2074,0.5119
2075,0.4315
2076,0.4803
2077,0.4494
2078,0.5480
2079,0.4664
2080,0.5215
2081,0.4770
2082,0.4762
2083,0.6174
2084,0.4561
2085,0.4857
2086,0.5529
2087,0.4617
2088,0.4511
2089,0.4632
2090,0.4618
2091,0.4710
2092,0.5234
2093,0.4199
2094,0.5112
2095,0.4594
2096,0.5442
2097,0.4330
2098,0.4091
2099,0.4957
2100,0.5786
2101,0.4286
2102,0.5502
2103,0.4931
2104,0.5148
2105,0.4972
2106,0.5133
2107,0.4932
2108,0.5409
2109,0.4900
2110,0.5226
2111,0.5239
2112,0.4780
2113,0.4527
2114,0.5840
2115,0.3839
2116,0.4899
2117,0.4905
2118,0.5353
2119,0.4711
2120,0.4446
2121,0.4723
2122,0.5297
2123,0.5630
2124,0.5478
2125,0.4718
2126,0.4979
2127,0.4833
2128,0.5194
2129,0.4501
2130,0.5075
2131,0.4865
2132,0.5156
2133,0.4604
2134,0.4488
2135,0.5306
2136,0.5159
2137,0.4588
2138,0.4923
2139,0.3525
2140,0.5012
2141,0.5558
2142,0.5644
2143,0.4445
2144,0.3559
2145,0.4816
2146,0.5481
2147,0.4695
2148,0.4967
2149,0.4044
2150,0.4018
2151,0.5132
2152,0.5336
2153,0.5674
2154,0.3677
2155,0.5298
2156,0.4676
2157,0.5482
2158,0.4538
2159,0.4345
2160,0.6076
2161,0.5297
2162,0.4330
2163,0.4823
2164,0.5336
2165,0.4756
2166,0.5817
2167,0.4646
2168,0.3781
2169,0.4138
2170,0.4917
2171,0.5948
2172,0.5354
2173,0.5325
2174,0.5002
2175,0.4369
2176,0.5032
2177,0.4591
2178,0.4629
2179,0.4145
2180,0.5158
2181,0.4790
2182,0.6096
2183,0.4500
2184,0.4841
2185,0.4214
2186,0.5498
2187,0.4113
2188,0.4949
2189,0.4714
2190,0.5143
2191,0.5576
2192,0.4797
2193,0.4595
2194,0.4384
2195,0.5823
2196,0.4644
2197,0.4257
2198,0.4547
2199,0.5123
2200,0.4985
2201,0.5581
2202,0.5080
2203,0.5207
2204,0.4584
2205,0.5188
2206,0.4949
2207,0.4205
2208,0.5971
2209,0.4624
2210,0.4259
2211,0.5234
2212,0.5349
2213,0.4648
2214,0.5433
2215,0.4789
2216,0.4100
2217,0.5106
2218,0.4951
2219,0.4850
2220,0.4967
2221,0.4950
2222,0.5009
2223,0.5650
2224,0.5234
2225,0.4503
2226,0.6237
2227,0.4893
2228,0.3367
2229,0.4969
2230,0.4827
2231,0.5045
2232,0.5199
2233,0.5324
2234,0.4525
2235,0.4674
2236,0.4955
2237,0.5103
2238,0.5045
2239,0.3783
2240,0.5073
2241,0.5053
2242,0.6054
2243,0.5027
2244,0.5075
2245,0.5499
2246,0.6079
2247,0.6399
2248,0.3698
2249,0.4380
2250,0.5108
2251,0.4412
2252,0.5190
2253,0.4348
2254,0.4940
2255,0.4592
2256,0.4136
2257,0.4525
2258,0.4764
2259,0.5962
2260,0.4953
2261,0.5103
2262,0.4815
2263,0.5299
2264,0.3877
2265,0.4529
2266,0.5055
2267,0.5161
2268,0.4743
2269,0.4344
2270,0.4999
2271,0.5459
2272,0.5284
2273,0.4698
2274,0.4443
2275,0.5236
2276,0.4921
2277,0.4547
2278,0.4850
2279,0.4148
2280,0.5340
2281,0.4797
2282,0.5277
2283,0.6149
2284,0.4979
2285,0.3875
2286,0.4949
2287,0.5276
2288,0.4098
2289,0.4921
2290,0.5440
2291,0.3875
2292,0.4030
2293,0.4280
2294,0.5095
2295,0.5068
2296,0.4405
2297,0.5018
2298,0.5090
2299,0.5338
2300,0.5607
2301,0.4145
2302,0.4624
2303,0.5071
2304,0.5005
2305,0.4223
2306,0.5143
2307,0.5588
2308,0.5737
2309,0.5900
2310,0.4395
2311,0.4813
2312,0.4437
2313,0.4671
2314,0.3670
2315,0.5560
2316,0.5038
2317,0.5422
2318,0.4753
2319,0.5281
2320,0.5405
2321,0.4217
2322,0.4760
2323,0.5211
2324,0.5599
2325,0.5451
2326,0.5305
2327,0.4882
2328,0.3691
2329,0.4265
2330,0.6182
2331,0.4562
2332,0.5234
2333,0.6146
2334,0.4196
2335,0.6204
2336,0.4673
2337,0.4086
2338,0.5167
2339,0.5089
2340,0.4180
2341,0.4596
2342,0.4758
2343,0.5056
2344,0.4961
2345,0.5070
2346,0.5519
2347,0.4740
2348,0.4571
2349,0.4814
2350,0.4934
2351,0.4569
2352,0.5877
2353,0.4450
2354,0.4282
2355,0.5942
2356,0.5535
2357,0.5006
2358,0.4682
2359,0.5422
2360,0.5239
2361,0.4681
2362,0.5062
2363,0.3744
2364,0.4244
2365,0.4516
2366,0.5261
2367,0.5122
2368,0.5794
2369,0.5936
2370,0.4309
2371,0.4574
2372,0.4193
2373,0.5707
2374,0.5757
2375,0.5295
2376,0.4469
2377,0.5078
2378,0.5487
2379,0.5215
2380,0.3811
2381,0.3870
2382,0.5165
2383,0.5595
2384,0.4757
2385,0.3758
2386,0.5632
2387,0.2907
2388,0.4945
2389,0.4469
2390,0.4914
2391,0.5437
2392,0.4170
2393,0.4870
2394,0.3697
2395,0.4810
2396,0.4113
2397,0.4578
2398,0.5120
2399,0.5096
2400,0.5313
2401,0.4517
2402,0.5451
2403,0.5079
2404,0.4524
2405,0.5792
2406,0.5259
2407,0.4069
2408,0.5320
2409,0.4871
2410,0.4691
2411,0.4383
2412,0.5207
2413,0.5438
2414,0.3810
2415,0.5831
2416,0.4365
2417,0.4302
2418,0.4980
2419,0.6084
2420,0.3899
2421,0.4891
2422,0.5390
2423,0.5103
2424,0.4597
2425,0.5700
2426,0.4847
2427,0.4677
2428,0.5197
2429,0.5258
2430,0.4195
2431,0.4761
2432,0.5315
2433,0.5339
2434,0.5500
2435,0.4879
2436,0.4840
2437,0.5419
2438,0.4726
2439,0.4527
2440,0.4809
2441,0.5442
2442,0.4340
2443,0.5087
2444,0.5008
2445,0.4371
2446,0.4763
2447,0.4646
2448,0.4988
2449,0.4340
2450,0.5758
2451,0.4390
2452,0.4922
2453,0.4993
2454,0.6029
2455,0.4630
2456,0.4847
2457,0.4423
2458,0.3936
2459,0.5334
2460,0.4519
2461,0.4864
2462,0.4550
2463,0.6328
2464,0.4463
2465,0.5242
2466,0.4282
2467,0.5182
2468,0.4278
2469,0.4079
2470,0.4421
2471,0.4569
2472,0.5136
2473,0.4800
2474,0.5330
2475,0.5834
2476,0.4417
2477,0.4057
2478,0.4991
2479,0.5790
2480,0.6116
2481,0.4716
2482,0.5009
2483,0.5619
2484,0.4627
2485,0.5142
2486,0.4292
2487,0.4627
2488,0.4806
2489,0.5461
2490,0.5365
2491,0.4965
2492,0.5419
2493,0.5245
2494,0.4963
2495,0.5183
2496,0.5912
2497,0.4898
2498,0.4543
2499,0.4968
2500,0.5185
2501,0.5028
2502,0.5071
2503,0.4519
2504,0.5038
2505,0.5010
2506,0.4375
2507,0.5423
2508,0.5779
2509,0.5336
2510,0.5128
2511,0.5978
2512,0.4603
2513,0.3814
2514,0.4845
2515,0.5113
2516,0.4103
2517,0.4143
2518,0.5317
2519,0.5368
2520,0.6070
2521,0.5370
2522,0.4594
2523,0.3775
2524,0.4739
2525,0.5927
2526,0.5194
2527,0.5151
2528,0.5089
2529,0.4439
2530,0.5060
2531,0.5388
2532,0.5326
2533,0.5333
2534,0.5034
2535,0.5295
2536,0.4910
2537,0.5343
2538,0.5243
2539,0.4349
2540,0.4621
2541,0.5800
2542,0.5424
2543,0.5551
2544,0.5340
2545,0.5037
2546,0.4811
2547,0.4709
2548,0.5334
2549,0.4830
2550,0.4751
2551,0.3945
2552,0.4589
2553,0.5119
2554,0.4646
2555,0.4659
2556,0.4620
2557,0.4910
2558,0.4717
2559,0.4089
2560,0.4608
2561,0.4004
2562,0.4483
2563,0.4604
2564,0.5646
2565,0.4527
2566,0.3480
2567,0.4386
2568,0.4981
2569,0.5333
2570,0.5703
2571,0.5017
2572,0.5518
2573,0.3987
2574,0.3732
2575,0.4723
2576,0.5880
2577,0.5925
2578,0.4563
2579,0.5395
2580,0.4834
2581,0.5589
2582,0.4067
2583,0.6061
2584,0.5726
2585,0.4446
2586,0.4949
2587,0.3873
2588,0.4758
2589,0.5620
2590,0.5492
2591,0.5266
2592,0.5227
2593,0.5432
2594,0.5083
2595,0.5215
2596,0.4988
2597,0.4052
2598,0.3839
2599,0.4158
2600,0.5823
2601,0.3750
2602,0.4696
2603,0.4898
2604,0.5724
2605,0.5413
2606,0.5105
2607,0.5102
2608,0.5194
2609,0.5156
2610,0.4777
2611,0.4719
2612,0.4357
2613,0.5701
2614,0.6115
2615,0.4518
2616,0.4724
2617,0.4839
2618,0.5753
2619,0.4312
2620,0.5099
2621,0.5831
2622,0.5068
2623,0.5316
2624,0.5425
2625,0.4274
2626,0.4340
2627,0.4229
2628,0.5108
2629,0.3450
2630,0.6121
2631,0.4495
2632,0.4834
2633,0.3839
2634,0.5022
2635,0.4406
2636,0.4371
2637,0.5850
2638,0.4121
2639,0.4581
2640,0.5082
2641,0.4248
2642,0.4134
2643,0.4955
2644,0.4263
2645,0.5680
2646,0.5345
2647,0.5879
2648,0.5525
2649,0.5255
2650,0.5172
2651,0.4886
2652,0.3942
2653,0.4741
2654,0.4570
2655,0.5745
2656,0.4961
2657,0.4981
2658,0.4908
2659,0.5533
2660,0.4928
2661,0.4955
2662,0.4526
2663,0.4652
2664,0.5494
2665,0.5269
2666,0.5609
2667,0.5612
2668,0.4888
2669,0.5217
2670,0.5813
2671,0.4341
2672,0.5554
2673,0.4958
2674,0.4304
2675,0.4265
2676,0.3973
2677,0.5264
2678,0.4667
2679,0.5085
2680,0.5156
2681,0.4966
2682,0.5246
2683,0.4624
2684,0.4578
2685,0.4241
2686,0.4760
2687,0.4696
2688,0.4532
2689,0.5243
2690,0.5817
2691,0.5218
2692,0.5467
2693,0.4456
2694,0.4445
2695,0.4612
2696,0.5655
2697,0.4941
2698,0.5118
2699,0.5604
2700,0.5022
2701,0.5156
2702,0.5111
2703,0.4419
2704,0.5663
2705,0.3790
2706,0.4863
2707,0.5438
2708,0.5134
2709,0.4890
2710,0.4786
2711,0.5435
2712,0.3609
2713,0.4614
2714,0.5251
2715,0.5039
2716,0.5090
2717,0.4123
2718,0.4351
2719,0.5531
2720,0.3474
2721,0.4869
2722,0.5929
2723,0.5143
2724,0.4566
2725,0.5339
2726,0.4960
2727,0.5292
2728,0.5333
2729,0.4477
2730,0.4675
2731,0.5190
2732,0.4058
2733,0.5615
2734,0.4773
2735,0.5051
2736,0.4141
2737,0.4853
2738,0.4197
2739,0.4685
2740,0.4310
2741,0.5218
2742,0.4855
2743,0.5170
2744,0.5383
2745,0.4404
2746,0.5132
2747,0.3233
2748,0.4598
2749,0.5124
2750,0.4948
2751,0.5226
2752,0.4687
2753,0.4138
2754,0.4789
2755,0.4612
2756,0.4881
2757,0.4608
2758,0.5337
2759,0.4534
2760,0.4882
2761,0.4928
2762,0.5847
2763,0.4864
2764,0.5139
2765,0.5892
2766,0.4702
2767,0.3837
2768,0.4162
2769,0.5718
2770,0.5392
2771,0.5298
2772,0.4700
2773,0.5374
2774,0.5276
2775,0.5137
2776,0.4317
2777,0.5424
2778,0.5746
2779,0.3606
2780,0.4782
2781,0.5583
2782,0.4779
2783,0.4609
2784,0.4154
2785,0.5822
2786,0.4669
2787,0.5326
2788,0.5509
2789,0.4874
2790,0.5411
2791,0.5136
2792,0.6221
2793,0.5181
2794,0.4783
2795,0.5242
2796,0.4579
2797,0.4301
2798,0.4072
2799,0.4730
2800,0.5790
2801,0.4833
2802,0.5830
2803,0.5774
2804,0.5009
2805,0.5188
2806,0.5742
2807,0.5606
2808,0.5384
2809,0.5087
2810,0.5236
2811,0.5082
2812,0.4247
2813,0.4495
2814,0.5475
2815,0.5072
2816,0.4567
2817,0.5157
2818,0.5855
2819,0.4319
2820,0.3621
2821,0.5542
2822,0.4503
2823,0.5028
2824,0.5573
2825,0.4903
2826,0.6030
2827,0.4199
2828,0.5081
2829,0.4212
2830,0.3867
2831,0.5556
2832,0.5132
2833,0.5870
2834,0.4958
2835,0.4381
2836,0.4687
2837,0.4313
2838,0.5290
2839,0.5348
2840,0.4829
2841,0.5002
2842,0.4865
2843,0.4360
2844,0.6401
2845,0.4441
2846,0.4786
2847,0.5630
2848,0.5834
2849,0.4370
2850,0.5887
2851,0.5385
2852,0.4506
2853,0.4386
2854,0.4830
2855,0.4271
2856,0.5159
2857,0.4797
2858,0.4843
2859,0.4547
2860,0.5560
2861,0.5170
2862,0.4673
2863,0.3645
2864,0.4360
2865,0.4943
2866,0.4975
2867,0.5051
2868,0.4899
2869,0.4885
2870,0.4365
2871,0.5638
2872,0.5243
2873,0.4798
2874,0.5402
2875,0.4894
2876,0.3381
2877,0.5345
2878,0.4353
2879,0.5027
2880,0.5791
2881,0.4966
2882,0.4984
2883,0.4994
2884,0.4447
2885,0.4933
2886,0.5028
2887,0.4890
2888,0.4520
2889,0.5111
2890,0.4868
2891,0.5009
2892,0.4910
2893,0.5135
2894,0.4762
2895,0.5191
2896,0.5869
2897,0.5323
2898,0.4900
2899,0.4715
2900,0.4146
2901,0.4153
2902,0.4841
2903,0.5269
2904,0.5736
2905,0.4443
2906,0.3590
2907,0.3911
2908,0.4418
2909,0.4289
2910,0.4698
2911,0.4791
2912,0.5489
2913,0.5538
2914,0.5353
2915,0.4294
2916,0.4931
2917,0.4078
2918,0.4931
2919,0.4015
2920,0.5576
2921,0.4657
2922,0.4886
2923,0.5975
2924,0.5265
2925,0.5970
2926,0.4312
2927,0.5883
2928,0.4779
2929,0.6000
2930,0.4704
2931,0.5012
2932,0.5206
2933,0.4472
2934,0.4500
2935,0.4854
2936,0.4817
2937,0.5138
2938,0.5481
2939,0.4715
2940,0.4398
2941,0.5102
2942,0.4326
2943,0.5152
2944,0.5503
2945,0.5030
2946,0.4534
2947,0.4039
2948,0.6158
2949,0.4970
2950,0.4470
2951,0.5016
2952,0.5490
2953,0.4308
2954,0.5650
2955,0.6177
2956,0.4245
2957,0.4704
2958,0.5887
2959,0.5894
2960,0.6021
2961,0.5333
2962,0.4569
2963,0.5570
2964,0.5599
2965,0.4087
2966,0.6162
2967,0.5256
2968,0.5822
2969,0.5353
2970,0.5221
2971,0.4862
2972,0.4780
2973,0.3832
2974,0.4909
2975,0.5131
2976,0.4511
2977,0.4527
2978,0.4637
2979,0.4884
2980,0.5073
2981,0.5373
2982,0.4783
2983,0.5926
2984,0.4938
2985,0.6048
2986,0.4761
2987,0.5253
2988,0.4469
2989,0.4446
2990,0.4883
2991,0.4887
2992,0.5430
2993,0.5561
2994,0.5023
2995,0.5333
2996,0.4762
2997,0.5375
2998,0.5181
2999,0.4703
3000,0.3701
3001,0.5752
3002,0.4831
3003,0.5234
3004,0.4801
3005,0.5299
3006,0.4475
3007,0.6461
3008,0.5090
3009,0.4805
3010,0.5636
3011,0.4485
3012,0.5552
3013,0.4038
3014,0.4491
3015,0.5209
3016,0.4849
3017,0.5448
3018,0.4659
3019,0.4062
3020,0.4989
3021,0.5472
3022,0.5898
3023,0.4840
3024,0.4653
3025,0.4965
3026,0.4717
3027,0.5011
3028,0.5526
3029,0.4838
3030,0.5986
3031,0.3866
3032,0.5653
3033,0.5704
3034,0.4328
3035,0.5241
3036,0.5283
3037,0.4824
3038,0.5015
3039,0.4762
3040,0.4950
3041,0.5167
3042,0.4243
3043,0.5153
3044,0.5441
3045,0.5631
3046,0.5673
3047,0.4446
3048,0.5633
3049,0.4618
3050,0.5079
3051,0.4630
3052,0.4748
3053,0.5015
3054,0.4668
3055,0.4393
3056,0.4975
3057,0.5109
3058,0.4073
3059,0.3397
3060,0.5127
3061,0.4220
3062,0.4297
3063,0.4519
3064,0.5303
3065,0.4573
3066,0.4864
3067,0.5352
3068,0.5752
3069,0.5026
3070,0.5328
3071,0.4713
3072,0.5329
3073,0.5332
3074,0.4793
3075,0.5754
3076,0.6003
3077,0.5039
3078,0.4360
3079,0.5403
3080,0.5168
3081,0.5242
3082,0.4926
3083,0.5016
3084,0.4916
3085,0.4472
3086,0.5220
3087,0.3756
3088,0.4931
3089,0.4962
3090,0.5550
3091,0.5151
3092,0.4867
3093,0.4720
3094,0.5650
3095,0.5369
3096,0.5387
3097,0.5125
3098,0.5867
3099,0.6127
3100,0.4335
3101,0.6089
3102,0.4563
3103,0.5780
3104,0.5184
3105,0.5776
3106,0.5623
3107,0.5030
3108,0.4692
3109,0.5870
3110,0.4841
3111,0.4916
3112,0.5006
3113,0.5055
3114,0.5067
3115,0.5260
3116,0.4560
3117,0.5690
3118,0.5391
3119,0.4527
3120,0.4910
3121,0.5320
3122,0.4590
3123,0.5041
3124,0.3732
3125,0.5175
3126,0.4150
3127,0.4725
3128,0.5734
3129,0.5503
3130,0.4974
3131,0.4548
3132,0.3833
3133,0.4994
3134,0.5223
3135,0.5245
3136,0.4728
3137,0.5035
3138,0.4724
3139,0.5113
3140,0.4622
3141,0.5031
3142,0.4467
3143,0.4698
3144,0.4986
3145,0.4049
3146,0.4549
3147,0.5066
3148,0.4743
3149,0.5927
3150,0.5249
3151,0.5812
3152,0.5022
3153,0.4503
3154,0.4671
3155,0.4709
3156,0.5031
3157,0.4794
3158,0.5932
3159,0.4813
3160,0.4457
3161,0.5215
3162,0.3714
3163,0.5499
3164,0.4740
3165,0.5067
3166,0.4855
3167,0.5008
3168,0.5686
3169,0.4786
3170,0.4473
3171,0.4849
3172,0.5072
3173,0.4513
3174,0.5415
3175,0.5074
3176,0.5405
3177,0.4976
3178,0.5181
3179,0.4158
3180,0.3679
3181,0.4743
3182,0.5373
3183,0.5958
3184,0.4643
3185,0.4803
3186,0.5738
3187,0.5165
3188,0.4830
3189,0.5449
3190,0.4645
3191,0.5404
3192,0.5049
3193,0.5028
3194,0.5390
3195,0.5052
3196,0.5347
3197,0.4541
3198,0.5471
3199,0.5332
3200,0.3650
3201,0.5408
3202,0.5376
3203,0.5182
3204,0.5070
3205,0.5196
3206,0.5246
3207,0.5919
3208,0.6056
3209,0.5095
3210,0.5370
3211,0.5000
3212,0.4092
3213,0.4136
3214,0.5061
3215,0.4719
3216,0.5593
3217,0.4754
3218,0.5156
3219,0.5077
3220,0.4336
3221,0.5034
3222,0.5893
3223,0.5350
3224,0.5364
3225,0.6112
3226,0.5026
3227,0.4099
3228,0.6129
3229,0.4451
3230,0.4531
3231,0.4535
3232,0.4070
3233,0.4941
3234,0.5372
3235,0.5187
3236,0.5754
3237,0.5338
3238,0.4770
3239,0.5368
3240,0.5087
3241,0.4763
3242,0.6127
3243,0.3735
3244,0.4828
3245,0.3456
3246,0.5571
3247,0.4689
3248,0.5499
3249,0.4948
3250,0.4823
3251,0.5542
3252,0.4461
3253,0.4723
3254,0.4781
3255,0.5079
3256,0.4717
3257,0.4362
3258,0.4951
3259,0.4495
3260,0.5071
3261,0.4843
3262,0.5445
3263,0.5205
3264,0.4334
3265,0.4708
3266,0.4049
3267,0.5242
3268,0.4955
3269,0.4977
3270,0.4824
3271,0.5282
3272,0.5108
3273,0.4396
3274,0.5166
3275,0.4914
3276,0.6088
3277,0.5235
3278,0.5965
3279,0.4226
3280,0.4217
3281,0.5009
3282,0.5852
3283,0.5190
3284,0.5378
3285,0.4672
3286,0.5007
3287,0.6055
3288,0.5149
3289,0.4068
3290,0.4793
3291,0.5182
3292,0.5200
3293,0.4850
3294,0.5268
3295,0.4983
3296,0.4885
3297,0.4435
3298,0.4433
3299,0.4389
3300,0.5224
3301,0.4900
3302,0.5319
3303,0.5062
3304,0.5617
3305,0.4666
3306,0.5836
3307,0.4779
3308,0.5813
3309,0.4689
3310,0.4675
3311,0.3720
3312,0.5634
3313,0.4822
3314,0.5483
3315,0.4964
3316,0.3391
3317,0.5811
3318,0.4730
3319,0.5463
3320,0.4310
3321,0.4777
3322,0.5289
3323,0.5162
3324,0.4886
3325,0.5351
3326,0.4911
3327,0.4525
3328,0.3563
3329,0.5717
3330,0.5004
3331,0.5398
3332,0.4432
3333,0.5269
3334,0.4909
3335,0.4460
3336,0.5268
3337,0.4533
3338,0.4274
3339,0.5512
3340,0.5569
3341,0.5238
3342,0.5368
3343,0.4491
3344,0.5575
3345,0.4788
3346,0.5017
3347,0.5235
3348,0.5978
3349,0.6203
3350,0.5398
3351,0.6050
3352,0.4855
3353,0.4303
3354,0.4520
3355,0.6155
3356,0.4144
3357,0.4645
3358,0.4990
3359,0.4988
3360,0.4735
3361,0.5094
3362,0.4749
3363,0.4995
3364,0.5291
3365,0.5277
3366,0.5266
3367,0.5477
3368,0.5412
3369,0.5494
3370,0.3816
3371,0.5186
3372,0.3347
3373,0.4222
3374,0.3970
3375,0.5731
3376,0.5406
3377,0.4913
3378,0.4431
3379,0.4661
3380,0.5613
3381,0.4828
3382,0.5074
3383,0.5570
3384,0.5217
3385,0.5251
3386,0.5897
3387,0.3782
3388,0.5911
3389,0.4648
3390,0.4355
3391,0.5213
3392,0.5340
3393,0.3567
3394,0.4162
3395,0.5304
3396,0.4670
3397,0.4024
3398,0.4842
3399,0.5212
3400,0.5322
3401,0.4668
3402,0.5053
3403,0.5947
3404,0.5271
3405,0.4846
3406,0.4795
3407,0.4528
3408,0.4873
3409,0.4599
3410,0.5207
3411,0.4639
3412,0.4713
3413,0.4860
3414,0.5357
3415,0.5281
3416,0.4459
3417,0.4847
3418,0.4340
3419,0.5643
3420,0.4768
3421,0.4222
3422,0.5732
3423,0.5277
3424,0.5068
3425,0.5263
3426,0.5372
3427,0.3522
3428,0.4815
3429,0.5293
3430,0.5352
3431,0.4634
3432,0.5212
3433,0.5299
3434,0.4234
3435,0.4556
3436,0.4499
3437,0.4435
3438,0.4965
3439,0.4773
3440,0.5585
3441,0.5474
3442,0.5608
3443,0.5541
3444,0.5443
3445,0.4802
3446,0.4003
3447,0.4545
3448,0.5381
3449,0.4087
3450,0.4998
3451,0.5147
3452,0.5408
3453,0.5493
3454,0.4023
3455,0.5130
3456,0.5011
3457,0.5061
3458,0.4632
3459,0.4109
3460,0.5035
3461,0.4803
3462,0.4637
3463,0.3825
3464,0.5016
3465,0.4492
3466,0.4867
3467,0.5212
3468,0.3955
3469,0.4596
3470,0.5097
3471,0.5044
3472,0.4874
3473,0.4922
3474,0.4817
3475,0.5596
3476,0.4946
3477,0.5321
3478,0.4224
3479,0.4106
3480,0.3259
3481,0.6048
3482,0.4144
3483,0.5349
3484,0.3850
3485,0.4193
3486,0.4275
3487,0.4530
3488,0.4864
3489,0.3813
3490,0.4932
3491,0.5452
3492,0.5387
3493,0.4607
3494,0.4991
3495,0.4838
3496,0.5235
3497,0.4434
3498,0.5422
3499,0.4078
3500,0.4536
3501,0.4662
3502,0.5018
3503,0.5185
3504,0.4858
3505,0.3530
3506,0.5110
3507,0.4248
3508,0.5312
3509,0.4307
3510,0.4719
3511,0.5711
3512,0.5523
3513,0.4557
3514,0.3752
3515,0.4447
3516,0.4372
3517,0.4641
3518,0.5271
3519,0.5800
3520,0.5516
3521,0.4400
3522,0.5034
3523,0.5537
3524,0.4911
3525,0.4718
3526,0.5141
3527,0.4193
3528,0.4664
3529,0.4720
3530,0.4364
3531,0.5415
3532,0.4623
3533,0.4990
3534,0.4831
3535,0.4196
3536,0.5576
3537,0.3738
3538,0.4765
3539,0.4696
3540,0.5593
3541,0.4517
3542,0.5330
3543,0.5510
3544,0.4536
3545,0.3987
3546,0.4932
3547,0.5060
3548,0.5416
3549,0.4621
3550,0.5548
3551,0.5531
3552,0.4541
3553,0.5017
3554,0.5291
3555,0.4279
3556,0.5221
3557,0.4196
3558,0.4827
3559,0.4398
3560,0.6046
3561,0.5896
3562,0.5413
3563,0.5446
3564,0.5253
3565,0.5047
3566,0.5356
3567,0.4395
3568,0.5337
3569,0.5345
3570,0.5836
3571,0.4666
3572,0.4917
3573,0.4723
3574,0.4183
3575,0.4417
3576,0.5091
3577,0.5020
3578,0.4875
3579,0.5010
3580,0.5622
3581,0.5198
3582,0.4900
3583,0.5351
3584,0.4397
3585,0.4998
3586,0.4981
3587,0.4835
3588,0.4791
3589,0.4633
3590,0.4832
3591,0.5026
3592,0.5213
3593,0.5102
3594,0.4574
3595,0.4545
3596,0.5571
3597,0.4037
3598,0.4618
3599,0.4520
3600,0.5222
3601,0.5002
3602,0.5181
3603,0.5489
3604,0.4914
3605,0.4891
3606,0.3926
3607,0.5388
3608,0.5391
3609,0.5310
3610,0.4026
3611,0.5199
3612,0.3909
3613,0.4069
3614,0.4587
3615,0.4578
3616,0.5091
3617,0.4839
3618,0.5438
3619,0.5053
